run_id,topology_tier,topology_name,topology_idx,voxel_seed,voxel_nx,voxel_ny,voxel_nz,regolith_volume_fraction_target,hdpe_volume_fraction_target,thickness_cm,w_regolith,w_hdpe,density_g_cm3,areal_density_g_cm2,H_mass_fraction,C_mass_fraction,O_mass_fraction,Si_mass_fraction,Al_mass_fraction,Ca_mass_fraction,Fe_mass_fraction,Mg_mass_fraction,Na_mass_fraction,K_mass_fraction,Mn_mass_fraction,P_mass_fraction,Ti_mass_fraction,mean_excitation_ev
27,3,tier3_voxel_grid,3,20260934,64,64,64,0.03639952728,0.9636004727,7.228085123,0.09856899312,0.9014310069,1.015519149,7.340258854,0.1295562066,0.7718748003,0.04523971353,0.02292072626,0.01389017863,0.009645953371,0.002483081457,0.00172171279,0.001888477348,0.0002817622469,4.638723379e-05,7.406438629e-05,0.0003769358635,59.31069159
28,3,tier3_voxel_grid,3,20260935,64,64,64,0.2017694997,0.7982305003,10.43171679,0.4225345874,0.5774654126,1.3131851,13.69877505,0.0829949577,0.4944704549,0.1939285681,0.0982540179,0.05954287156,0.04134919916,0.01064419719,0.007380446736,0.008095314479,0.001207827036,0.0001988476302,0.0003174909666,0.001615806701,77.40934041
29,3,tier3_voxel_grid,3,20260936,64,64,64,0.01524081289,0.9847591871,2.790695228,0.04287988597,0.957120114,0.9774334632,2.727718901,0.1375600021,0.8195601119,0.01968036495,0.009971067952,0.006042562238,0.004196222032,0.001080200237,0.0007489865299,0.0008215331289,0.0001225733634,2.01795639e-05,3.221979182e-05,0.0001639761789,56.78696186
30,3,tier3_voxel_grid,3,20260937,64,64,64,0.4427680429,0.5572319571,2.113761572,0.6969801551,0.3030198449,1.746982477,3.692704428,0.04355086671,0.2594689782,0.3198894658,0.1620721775,0.09821728466,0.06820641932,0.01755783887,0.01217421026,0.01335340043,0.001992337431,0.0003280035677,0.0005237083773,0.00266530892,98.91348312
31,3,tier3_voxel_grid,3,20260938,64,64,64,0.0213412413,0.9786587587,11.68139113,0.05937633387,0.9406236661,0.9884142343,11.54605327,0.1351890861,0.80543458,0.02725165643,0.01380706703,0.00836721425,0.005810563035,0.001495767269,0.001037131356,0.001137587572,0.000169728925,2.794290368e-05,4.461516333e-05,0.0002270599402,57.51930067
32,3,tier3_voxel_grid,3,20260939,64,64,64,0.3800069284,0.6199930716,9.422075962,0.6395416629,0.3604583371,1.634012471,15.39578963,0.05180608879,0.3086522483,0.2935272108,0.1487157262,0.09012314784,0.06258549331,0.01611088837,0.01117092735,0.01225293985,0.001828147881,0.0003009726254,0.0004805493013,0.002445659445,93.81677134
33,3,tier3_voxel_grid,3,20260940,64,64,64,0.4153100495,0.5846899505,4.644114066,0.67279149,0.32720851,1.697558089,7.8836534,0.04702732988,0.2801811802,0.3087877162,0.1564474698,0.09480865818,0.06583931858,0.01694849486,0.01175170484,0.01288997126,0.00192319345,0.0003166202185,0.0005055331015,0.002572809493,96.72390457
34,3,tier3_voxel_grid,3,20260941,64,64,64,0.06067556483,0.9393244352,13.5530457,0.1575295319,0.8424704681,1.059216017,14.35560308,0.1210822317,0.7213882364,0.07230053458,0.03663110644,0.02219879973,0.01541582673,0.003968374305,0.002751581418,0.003018098727,0.0004503026099,7.413446149e-05,0.0001183671227,0.0006024057694,62.14901739
35,3,tier3_voxel_grid,3,20260942,64,64,64,0.09036502286,0.9096349771,8.492663876,0.2233426866,0.7766573134,1.112657041,9.44942226,0.1116233795,0.6650339339,0.1025064662,0.05193495866,0.03147308007,0.02185629652,0.005626293485,0.003901145259,0.004279008958,0.000638431369,0.0001051065765,0.00016781889,0.0008540806372,65.53567836
36,3,tier3_voxel_grid,3,20260943,64,64,64,0.03066425312,0.9693357469,5.509368238,0.08389082824,0.9161091718,1.005195656,5.537993018,0.1316657938,0.7844433779,0.03850295024,0.01950754136,0.01182175604,0.008209549391,0.002113319346,0.001465328065,0.001607259279,0.0002398042986,3.947959028e-05,6.303526608e-05,0.0003208053647,58.63115561
37,3,tier3_voxel_grid,3,20260944,64,64,64,0.360989259,0.639010741,12.84345584,0.6205353542,0.3794646458,1.599780666,20.54671234,0.05453772909,0.3249269167,0.2848039812,0.144296097,0.08744481041,0.06072553753,0.01563209467,0.01083894258,0.01188879913,0.001773817812,0.0002920281281,0.0004662680294,0.002372977771,92.20643499
38,3,tier3_voxel_grid,3,20260945,64,64,64,0.01892670855,0.9810732914,8.183926458,0.05289110563,0.9471088944,0.9840680754,8.053540759,0.1361211614,0.810987733,0.02427516394,0.01229902544,0.007453326668,0.005175919145,0.001332395914,0.0009238533353,0.001013337478,0.0001511907172,2.489091148e-05,3.97421862e-05,0.0002022598988,57.22989539
39,3,tier3_voxel_grid,3,20260946,64,64,64,0.2538421701,0.7461578299,8.4054677,0.4961675142,0.5038324858,1.406915906,11.82578621,0.07241222581,0.43142026,0.227723501,0.1153762396,0.06991910117,0.04855491118,0.01249910662,0.008666599183,0.009506043246,0.001418308833,0.0002334997828,0.0003728184825,0.001897385014,82.51835713
40,3,tier3_voxel_grid,3,20260947,64,64,64,0.05689825523,0.9431017448,2.832466407,0.1486770195,0.8513229805,1.052416859,2.9809354,0.1223545397,0.7289684408,0.06823754161,0.03457258877,0.02095131839,0.01454952061,0.003745367975,0.002596953849,0.002848493979,0.0004249974535,6.996840937e-05,0.0001117153767,0.0005685530403,61.71144312
41,3,tier3_voxel_grid,3,20260948,64,64,64,0.3208783428,0.6791216572,2.495069143,0.5776554126,0.4223445874,1.527581017,3.811420259,0.06070055522,0.3616440321,0.2651235907,0.1343250161,0.08140224034,0.05652931006,0.01455189303,0.01008995507,0.01106726494,0.001651244289,0.0002718485381,0.0004340481958,0.00220900138,88.70465353
42,3,tier3_voxel_grid,3,20260949,64,64,64,0.2537339369,0.7462660631,10.98645469,0.4960246443,0.5039753557,1.406721087,15.45487747,0.07243275947,0.4315425962,0.2276579288,0.1153430174,0.06989896819,0.04854092995,0.01249550754,0.008664103664,0.009503306012,0.001417900436,0.0002334325472,0.0003727111306,0.001896838668,82.5080189
43,3,tier3_voxel_grid,3,20260950,64,64,64,0.0138200044,0.9861799956,9.057257979,0.03898445729,0.9610155427,0.9748760079,8.829703502,0.1381198641,0.8228956786,0.0178924997,0.00906524502,0.005493624906,0.00381501571,0.0009820693096,0.0006809447537,0.0007469008478,0.0001114381707,1.834634886e-05,2.929278075e-05,0.0001490797421,56.61585594
44,3,tier3_voxel_grid,3,20260951,64,64,64,0.26688511,0.73311489,10.97582813,0.5130995124,0.4869004876,1.430393198,15.6997499,0.06997871127,0.4169217763,0.2354946948,0.1193135194,0.07230513022,0.0502118751,0.01292564573,0.008962351803,0.009830442372,0.001466709428,0.0002414680955,0.000385541125,0.001962134356,83.75578843
45,3,tier3_voxel_grid,3,20260952,64,64,64,0.2686450205,0.7313549795,3.43457842,0.5153417172,0.4846582828,1.433561037,4.923677802,0.06965645528,0.4150018276,0.2365237882,0.1198349101,0.07262109798,0.05043129707,0.01298212979,0.00900151658,0.009873400636,0.001473118833,0.0002425232922,0.0003872259095,0.001970708729,83.92148655
46,3,tier3_voxel_grid,3,20260953,64,64,64,0.1286503515,0.8713496485,4.467835875,0.2994221901,0.7005778099,1.181570633,5.279063661,0.1006890187,0.5998887912,0.1374242921,0.06962609476,0.04219407721,0.02930143032,0.007542835374,0.005230032265,0.005736611541,0.0008559067754,0.0001409101046,0.0002249847548,0.001145014859,69.76425305
47,3,tier3_voxel_grid,3,20260954,64,64,64,0.1707813345,0.8292186655,10.35851922,0.3735058681,0.6264941319,1.257406402,13.02486838,0.09004150352,0.5364526284,0.1714261041,0.08685313189,0.05263382595,0.03655125282,0.009409099819,0.006524058023,0.007155976225,0.001067677059,0.0001757743838,0.0002806509636,0.001428316882,74.23768315
48,3,tier3_voxel_grid,3,20260955,64,64,64,0.2179799256,0.7820200744,2.975289749,0.4465590967,0.5534409033,1.342363866,3.99392145,0.07954208748,0.4738988158,0.2049549759,0.1038405536,0.06292836546,0.04370023562,0.0112494059,0.007800084835,0.008555598592,0.001276501773,0.0002101537265,0.0003355428963,0.001707678383,79.0291128
49,3,tier3_voxel_grid,3,20260956,64,64,64,0.2180204047,0.7819795953,12.04956528,0.4466177811,0.5533822189,1.342436728,16.17577899,0.07953365319,0.4738485657,0.20498191,0.1038541998,0.06293663517,0.04370597847,0.01125088423,0.00780110988,0.008556722922,0.001276669524,0.0002101813438,0.0003355869916,0.001707902796,79.03312405
50,3,tier3_voxel_grid,3,20260957,64,64,64,0.3557997007,0.6442002993,4.995519914,0.6152068033,0.3847931967,1.590439461,7.945072,0.05530356345,0.3294896332,0.2823583631,0.1430570232,0.08669391989,0.060204086,0.01549786152,0.01074586833,0.01178670975,0.001758585999,0.0002895204761,0.0004622641754,0.002352600958,91.76149703
51,3,tier3_voxel_grid,3,20260958,64,64,64,0.08303137291,0.9169686271,4.245518547,0.207681051,0.792318949,1.099456471,4.66776284,0.1138743139,0.6784446351,0.09531832432,0.04829308253,0.02926606842,0.02032365017,0.005231756463,0.003627582169,0.003978948634,0.0005936621419,9.773610507e-05,0.0001560507935,0.0007941892662,64.70784716
52,3,tier3_voxel_grid,3,20260959,64,64,64,0.337647244,0.662352756,14.78739832,0.5960654512,0.4039345488,1.557765039,23.03529213,0.05805461255,0.3458799362,0.2735731533,0.1386059917,0.08399655237,0.05833091489,0.01501566591,0.01041152475,0.01141998175,0.001703869904,0.0002805124266,0.0004478814324,0.002279402868,90.18628193
53,3,tier3_voxel_grid,3,20260960,64,64,64,0.2237587449,0.7762412551,9.311805959,0.4548729539,0.5451270461,1.352765741,12.59669209,0.07834719647,0.4667798496,0.208770745,0.1057738152,0.0640999404,0.04451382899,0.0114588428,0.00794530367,0.008714883277,0.001300267168,0.0002140662839,0.0003417898987,0.00173947125,79.60008322
