run_id,thickness_cm,w_regolith,incident_energy_mev,target_dose_sv_per_particle,target_secondary_neutrons,target_secondary_gammas,transmission_probability,target_secondary_protons,target_secondary_pions,target_secondary_light_ions,sem_dose,sem_neutrons,rel_sem_dose,rel_sem_neutrons,p_nuclear_interaction,mean_neutrons_given_interaction,log_mean_dose,log_std_dose,n_events
1102,5.451422402214428,0.0807214326034852,3654.2710908657928,8.188740387599e-14,0.2107,0.4459,0.9283,0.1045,0.0537,0.0022,9.980969755993017e-16,0.009273572715792523,0.012188650859060282,0.04401315954339119,0.085,2.478823529411765,-30.56761224544113,0.8241633383363507,10000
1103,1.7553320646660886,0.5511644187668056,6196.210836226574,1.115205564e-13,0.1013,0.226,0.9702,0.0545,0.0468,0.0074,1.5219968459001038e-15,0.005829856749781447,0.013647679809281365,0.05755041213999454,0.0434,2.334101382488479,-30.424508166829995,0.9769004307626151,10000
1104,4.000236828710351,0.3889122351653485,59.07669774047866,3.23592428573e-17,0.0075,0.0425,0.0,0.0,0.0,0.0,4.463620178761927e-18,0.0013581455945316004,0.13793957412557223,0.18108607927088005,0.0047,1.5957446808510638,-35.76201790245748,2.0020286363285402,10000
1105,5.516736256270856,0.2824558517922438,212.71417320137107,9.047347850496e-14,0.0592,0.1298,0.936,0.0535,0.0,0.0004,1.8877676724419674e-16,0.00404860162494555,0.002086542601916732,0.06838854096191807,0.0348,1.7011494252873562,-30.09790903686367,0.6038819178427351,10000
1106,1.1952014620171616,0.3587214292157046,446.65795035202547,6.256076389650001e-14,0.0204,0.0487,0.986,0.0189,0.0007,0.0002,3.3260654581017447e-16,0.0019694597932396894,0.005316535877989532,0.09654214672743575,0.0135,1.511111111111111,-30.492872050512364,0.3956395979722252,10000
1107,5.121282334252941,0.4775364155752959,166.87731448163473,6.452190169849587e-14,0.0645,0.121,0.9334,0.0405,0.0,0.0003,1.3771729467371955e-16,0.004588690511252726,0.002134427086747352,0.07114248854655389,0.034,1.8970588235294117,-30.44635215963001,0.6874515557741745,10000
1108,9.935693131831208,0.3962714587052134,4733.550291091,1.100818814559e-13,0.5019,1.0732,0.85,0.2094,0.1559,0.0074,1.3614303145634233e-15,0.01589166113058509,0.012367433192071913,0.03166300285033889,0.1606,3.1251556662515565,-30.38155905683872,0.972681240124289,10000
1109,4.025411460539435,0.3446303124551007,4183.636349857102,8.91233655799e-14,0.1968,0.3947,0.9405,0.0905,0.0555,0.0041,1.1378827159099516e-15,0.00920409949667834,0.012767501636704105,0.04676879825547937,0.0751,2.6205059920106524,-30.531266869490498,0.8657987083636022,10000
1110,2.6525213072978358,0.4511383469255426,1570.1733321867691,6.541141193443e-14,0.1246,0.2065,0.9566,0.0566,0.0176,0.0012,6.47744241394441e-16,0.006402466958783609,0.009902618247160842,0.051384164998263315,0.0585,2.12991452991453,-30.643965909133577,0.6752701637996428,10000
1111,1.0724017089324198,0.3894955458047464,2737.141822934564,7.07685784e-14,0.0581,0.1097,0.9825,0.0287,0.0096,0.0008,8.181570566464261e-16,0.004206448433160936,0.011561021503385548,0.07240014514906946,0.0292,1.9897260273972603,-30.648284127365258,0.7416320997754255,10000
