run_id,thickness_cm,w_regolith,incident_energy_mev,target_dose_sv_per_particle,target_secondary_neutrons,target_secondary_gammas,transmission_probability,target_secondary_protons,target_secondary_pions,target_secondary_light_ions,sem_dose,sem_neutrons,rel_sem_dose,rel_sem_neutrons,p_nuclear_interaction,mean_neutrons_given_interaction,log_mean_dose,log_std_dose,n_events,target_dose_sv_per_particle_shrunk,target_dose_sv_per_particle_shrunk_sem,target_dose_sv_per_particle_gp_only,target_secondary_neutrons_shrunk,target_secondary_neutrons_shrunk_sem,target_secondary_neutrons_gp_only
866,9.913869956887154,0.0308230230739809,2114.3534739788624,7.147179868408999e-14,0.2846,0.5907,0.8775,0.1514,0.0505,0.0015,7.609173852848752e-16,0.0102435724763242,0.0106464003886089,0.0359928758830788,0.1229,2.315703824247356,-30.61421832033054,0.7600879040604943,10000,7.220688434578406e-14,1.0098232093112222e-15,7.308170226810046e-14,0.286996432722619,0.006660072786139524,0.28875126434044557
867,13.724437629044411,0.0207868520541014,5181.948337952454,1.1748337711763e-13,0.4701,1.2454,0.8324,0.2384,0.2095,0.0089,1.4485653902255233e-15,0.0140381731728385,0.0123299604230405,0.0298620999209498,0.1696,2.771816037735849,-30.34225346923792,1.0178338040734984,10000,1.1673405693612576e-13,1.2385551510201398e-15,1.1624109809920448e-13,0.46357414846518413,0.00781269529471708,0.4606459698445974
868,11.957038574246866,0.3615993933305032,41.953828871131854,5.0433782316e-18,0.0003,0.0109,0.0,0.0,0.0,0.0,1.143245369880676e-18,0.0001731877576503,0.226682457150945,0.5772925255010092,0.0003,1.0,-36.09550262899575,1.8155894232519485,10000,0.0,8.556589769944519e-16,-1.082429861395307e-16,0.00030031553491476466,0.00017315312510233024,0.001089030146317893
869,4.217829512217199,0.502755842260341,1031.0923249387668,6.243420434172e-14,0.1598,0.2728,0.9305,0.0793,0.0182,0.0013,5.323142375369634e-16,0.0072423505275646,0.0085260033846744,0.0453213424753734,0.0747,2.139223560910308,-30.63073666953645,0.6305609394462044,10000,6.277177237302723e-14,9.30838674051814e-16,6.321032288271032e-14,0.16014735394692167,0.005552870586730037,0.16064281156118093
870,2.6063913081241403,0.5792176789534051,29.175232415197208,7.613281011999999e-18,0.0009,0.0107,0.0,0.0,0.0,0.0,1.5150262450894124e-18,0.0004122329360923,0.1989978095779518,0.4580365956582211,0.0006,1.5,-35.53040802807552,1.745121614087505,10000,0.0,8.563574958273174e-16,-7.418072449861955e-17,0.0008986673825351379,0.0004117775847565634,0.00029645243208459293
871,11.614119645853782,0.4520734689864235,563.6525556178714,6.2183396563617e-14,0.2312,0.4244,0.841,0.141,0.01,0.0003,4.035528143615722e-16,0.0084369291912056,0.0064897197107706,0.0364919082664603,0.1174,1.969335604770017,-30.605394585298068,0.8441918576919586,10000,6.207781909298746e-14,9.066198706435844e-16,6.191404451449023e-14,0.2242955964415101,0.006037968932567427,0.2170467425418793
872,3.6394901675159423,0.3299982531213568,72.50264737462622,2.684060235595851e-15,0.0134,0.0779,0.4621,0.0011,0.0,0.0,3.32905742369955e-17,0.0017613501172179,0.0124030652499887,0.1314440385983514,0.009,1.488888888888889,-33.15417714065397,1.0803889887587348,10000,3.617773392225255e-15,8.538224777607629e-16,5.186748704373826e-15,0.013353562632719368,0.0017258878784813367,0.012235039398410613
873,12.191579936428182,0.089657177408762,29.517583977155635,1.70837632e-18,0.0,0.0055,0.0,0.0,0.0,0.0,5.32469598668026e-19,0.0,0.3116816783482611,,0.0,0.0,-35.990241501046725,1.3615071152005331,10000,1.8672459441520278e-17,8.577624756896112e-16,4.894291581059149e-17,0.0,1e-15,-0.0005217572882442734
874,6.495202195171435,0.5464984819976288,1686.0000129220466,6.898057147078e-14,0.2844,0.5253,0.8888,0.1325,0.0404,0.0014,6.959444653293612e-16,0.0106490846696056,0.0100889924581758,0.037444038922664,0.1117,2.5461056401074305,-30.619452915318917,0.7325540759121528,10000,6.91257230998072e-14,9.767627471055203e-16,6.928909057296403e-14,0.29116686813522213,0.006716036234167251,0.29563583020378215
875,2.358723379216764,0.3114718255152149,172.7089306877131,8.063128054741999e-14,0.0318,0.0631,0.9743,0.0238,0.0,0.0004,1.1935423602999383e-16,0.0029495331790975,0.0014802473087327,0.0927526156948923,0.0174,1.827586206896552,-30.17565573743884,0.3481671709943402,10000,8.054590550131209e-14,8.599911185870713e-16,8.04001902256448e-14,0.03160678035416085,0.002795606802918701,0.02989916599125672
876,2.938640171935031,0.1982207199756104,145.8260606882253,6.453542916017e-14,0.03,0.067,0.9666,0.0263,0.0,0.0003,1.0180062463500627e-16,0.0026173813379992,0.0015774377882007,0.0872460445999756,0.0182,1.6483516483516485,-30.40721271845488,0.426364624571769,10000,6.450590049641846e-14,8.578572234516306e-16,6.445594554867177e-14,0.029882114844718286,0.002506805692746898,0.028574692180564965
877,6.156698727626625,0.0877857112180001,3756.1220537927966,8.698079216952002e-14,0.2462,0.5256,0.9194,0.1111,0.0623,0.0034,1.0837982118669666e-15,0.0099201006466509,0.0124602016702114,0.0402928539669005,0.0958,2.569937369519833,-30.536505302252205,0.8535810389543188,10000,8.612836078207557e-14,1.1073283550330551e-15,8.541830205741422e-14,0.24449399894058726,0.006561566384584322,0.24316708293908673
878,14.201804227427612,0.6759999899714829,126.78596973907452,1.2490571457217066e-16,0.0374,0.0996,0.0,0.0001,0.0,0.0,1.1414771256867577e-17,0.0029156429989643,0.0913871018308942,0.0779583689562656,0.0245,1.526530612244898,-35.62265345733996,2.4006938975187104,10000,2.0088792456940346e-16,8.63367430079804e-16,3.472610912602075e-16,0.037771506706051096,0.0027779829253287073,0.0414293818205828
879,11.078046744755994,0.6972826299239766,923.8537672012332,6.458586503761e-14,0.4428,0.7028,0.7976,0.1811,0.0361,0.0021,5.238620306884286e-16,0.013281206836937,0.0081110941284655,0.02999369204367,0.1776,2.4932432432432434,-30.6362118951566,0.8328897201990316,10000,6.460348635866767e-14,9.40342897557727e-16,6.462959315596555e-14,0.41945400986765763,0.00741290474959078,0.40888997348201483
